Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese			
Text.Item.FamilyPhoto	Сімейна світлина	Familienfoto	Photo de famille	Foto de familia	Семейное фото	Foto di famiglia	全家福	家族写真			
Text.Item.PaintBrush	Пензель	Farbpinsel	Pinceau large	Brocha	Малярная кисть	Pennello	油漆刷	はけ			
Text.Item.Feather	Пір’їнка	Feder	Plume	Pluma	Перо	Piuma	羽毛	羽根			
Text.Item.File	Пилочка	Feile	Lime	Lima	Напильник	Lima	锉刀	やすり			
Text.Item.Lighter	Запальничка	Feuerzeug	Briquet	Mechero	Зажигалка	Accendino	打火机	ライター			
Text.Item.BottleOfMedicine	Баночка з ліками	Fläschchen mit Medizin	Flacon de médicament	Medicinas	Пузырек с лекарством	Flacone di medicina	瓶装药物	薬ビン			
Text.Item.Medicine	Баночка з ліками	Fläschchen mit Medizin	Flacon de médicament	Medicinas	Пузырек с лекарством	Flacone di medicina	瓶装药物	薬ビン			
Text.Item.BottleOfSleepingPills	Баночка зі снодійним	Flasche mit Schlaftabletten	Flacon de somnifères	Pastillas para dormir	Пузырек снотворного	Flacone di sonniferi	瓶装安眠药	睡眠薬			
Text.Item.FlyingDisc	Фризбі	Frisbee	Frisbee	Disco	Фрисби	Frisbee	飞盘	フリスビー			
Text.Item.Fruit	Банан	Frucht	Fruit	Fruta	Фрукт	Frutta	水果	果物			
Text.Item.RadioReceiver	Радіоприймач	Funkempfänger	Récepteur radio	Receptor de radio	Радиоприемник	Ricevitore radio	无线电接收机	無線受信機			
Text.Item.SheetOfMetalFinished	Розписана тарілка	Gedenkschild	Plaque commémorative	Placa conmemorativa	Тарелка с рисунком	Placca commemorativa	纪念用盘	記念プレート			
Text.Item.PrisonMovieDVD	DVD-фільм про в’язницю 	Gefängnisfilm-DVD	DVD sur la prison	DVD de prisión	DVD о тюрьме	DVD film prigione	监狱电影DVD	脱獄映画のDVD			
Text.Item.CookedFood	Приготована їжа	Gekochtes Essen	Nourriture cuite	Comida preparada	Готовая еда	Cibo cotto	熟食	調理済み食料			
Text.Item.CarvedSoapAnimals	Вирізьблена тваринка з мила	Geschnitztes Seifentier	Savon en forme d'animal	Animal de jabón	Фигурное мыло	Sapone a forma di animale	肥皂雕成的动物	石けん動物像			
Text.Item.FaceMask	Маска	Gesichtsmaske	Masque facial	Mascarilla	Маска	Maschera facciale	面具	フェイスマスク			
Text.Item.Guitar	Гітара	Gitarre	Guitare	Guitarra	Гитара	Chitarra	吉他	ギター			
Text.Item.GlassShard	Уламок скла	Glasscherbe	Éclat de verre	Trozo de cristal	Осколок стекла	Scheggia di vetro	碎玻璃	ガラスの破片			
Text.Item.LuckyPants	Щасливі штани	Glücksunterhose	Sous-vêtement porte-bonheur	Calzoncillos de la suerte	Счастлив. штаны	Mutande fortunate	幸运裤	ラッキーパンツ			
Text.Item.GolfBall	М’яч для ґольфу	Golfball	Balle de golf	Pelota de golf	Мяч д/гольфа	Pallina da golf	高尔夫球	ゴルフボール			
Text.Item.GreenColouredPen	Зелена ручка	Grüner Stift	Stylo vert	Bolígrafo verde	Зеленая ручка	Penna verde	绿色钢笔	緑色のペン			
Text.Item.InmateOutfit	Вбрання в’язня	Häftlingskleidung	Tenue de détenu	Uniforme de preso	Одежда заключ.	Vestiti da detenuto	囚犯服装	囚人服			
Text.Item.Bracket	Кремпіль	Halter	Équerre	Gancho	Кронштейн	Staffa	支架	ブラケット			
Text.Item.Hammer	Молоток	Hammer	Marteau	Martillo	Молоток	Martello	锤子	トンカチ			
Text.Item.HandCream	Крем для рук	Handcreme	Crème pour les mains	Crema de manos	Крем для рук	Crema per le mani	桶装护手霜	ハンドクリーム			
Text.Item.Trowel	Копачка	Handschaufel	Déplantoir	Pala	Лопатка	Cazzuola	抹子	スコップ			
Text.Item.CookedPie	Приготований пляцок	Heiße Pastete	Tarte cuite	Pastel terminado	Готовый пирог	Torta cotta	烹制好的馅饼	焼き上がったパイ			
Text.Item.Timber	Колода	Holz	Bois	Madera	Доска	Pezzo di legno	木料	木材			
Text.Item.DogFood	Банка собачого корму	Hundefutterdose	Pâtée pour chien	Lata de pienso	Собачьи консервы	Latta di cibo per cani	罐装狗粮	ドッグフード缶			
Text.Item.Dogtag	Значок	Hundemarke	Collier de chien	Chapa de id.	Жетон	Medaglietta per cani	狗牌	ドッグタグ			
Text.Item.DogBowl	Собача миска	Hundenapf	Gamelle	Cuenco	Собач. миска	Ciotola per cani	狗盆	ドッグボウル			
Text.Item.JugglerBall	Мячики для жонґлювання	Jonglierball	Balle de jonglage	Bola de malabares	Жонгл. мячик	Palla da giocoliere	杂耍球	ジャグリングボール			
Text.Item.Comb	Гребінець	Kamm	Peigne	Peine	Гребень	Pettine	梳子	くし			
Text.Item.Cookie	Печенько	Keks	Cookie	Galleta	Печенье	Biscotto	曲奇饼	クッキー			
Text.Item.Pillow	Подушка	Kissen	Oreiller	Almohada	Подушка	Cuscino	枕头	枕			
Text.Item.PillowCase	Пошивка для подушки	Kissenbezug	Taie d'oreiller	Funda de almohada	Наволочка	Federa	枕套	枕カバー			
Text.Item.CrateBase	Палета	Kistenboden	Fond de caisse	Base de caja	Поддон	Base cassa	木箱底座	木箱の底			
Text.Item.DuctTape	Липка стрічка	Klebebandrolle	Rouleau d'adhésif	Rollo de cinta	Изолента	Rotolo di nastro adesivo	胶带卷	ガムテープ			
Text.Item.Glue	Тюбик клею	Klebstoff	Tube de colle	Pegamento	Тюбик клея	Tubetto di colla	管状胶水	接着剤			
Text.Item.ToiletPaper	Рулон туалетного паперу	Klopapierrolle	Rouleau de PQ	Rollo de papel higiénico	Рулон туалетной бумаги	Rotolo di carta igienica	一卷卫生纸	トイレットペーパー			
Text.Item.LumpOfCoal	Шматочок вугілля	Kohlebrocken	Morceau de charbon	Trozo de carbón	Кусок угля	Pezzo di carbone	煤块	石炭の塊			
Text.Item.FoodCan	Консерва	Konservendose	Conserve de nourriture	Lata de comida	Консервы	Latta di cibo	食品罐	缶詰			
Text.Item.DoubleBass	Контрабас	Kontrabass	Contrebasse	Contrabajo	Контрабас	Contrabbasso	低音提琴	コントラバス			
Text.Item.InfirmaryOveralls	Вбрання лікаря	Krankenstationskleidung	Tenue de l'infirmerie	Uniforme de enfermero	Одежда медика	Vestiti da infermeria	医务室服装	医務官の服			
Text.Item.ArtPaints	Банка художньої фарби	Künstlerfarbe	Pot de peinture loisir	Lata de pintura	Баночка краски	Barattolo di pittura	美术颜料罐	ペンキ缶			
Text.Item.ArtBrush	Пензлик	Künstlerpinsel	Pinceau loisir délicat	Pincel fino	Кисточка	Pennello sottile	精致画笔	高級絵筆			
Text.Item.Copper	Мідний виливок	Kupferbarren	Barre de cuivre	Barra de cobre	Медная болванка	Barra di rame	铜棒	銅ののべぼう			
Text.Item.EmptyCannister	Пуста каністра	Leerer Kanister	Bocal vide	Lata vacía	Пустая канистра	Contenitore vuoto	空滤毒罐	空きビン			
Text.Item.BlankSecurityPass	Чиста перепустка	Leerer Sicherheitspass	Pass de sécurité vierge	Pase de seguridad en blanco	Бланк пропуска	Pass sicurezza in bianco	空白安检通行证	無記名の通行証			
Text.Item.CircuitBoard	Друкована плата	Leiterplatte	Circuit imprimé	Placa base	Электрощиток	Scheda elettronica	电路板	回路基板			
Text.Item.SolderingIron	Лютівник	Lötkolben	Fer à souder	Soldador	Паяльник	Saldatore	焊接铁块	はんだごて			
Text.Item.Magazine	Журнал	Magazin	Magazine	Revista	Журнал	Rivista	杂志	雑誌			
Text.Item.WallBlock	Блок стіни	Mauerstein	Pan de mur	Ladrillo	Стеновой блок	Mattone	隔墙	壁ブロック			
Text.Item.Medikit	Аптечка	Medikit	Trousse de soins	Botiquín	Аптечка	Kit di pronto soccorso	医疗包	医療キット			
Text.Item.MetalBaton	Металевий кийок	Metall-Schlagstock	Matraque en métal	Porra de metal	Метал. дубинка	Manganello di metallo	金属警棍	メタルバトン			
Text.Item.Milk	Пачка молока	Milchflasche	Bouteille de lait	Botella de leche	Бутылка молока	Bottiglia di latte	瓶装牛奶	牛乳パック			
Text.Item.SugarMint	М’ятний цукерок	Minzbonbon	Bonbon à la menthe	Caramelo de menta	Мятн. леденец	Mentina	含糖薄荷	シュガーミント			
Text.Item.StaffKey	Ключ персоналу	Mitarbeiterschlüssel	Clé du personnel	Llave de empleado	Ключ персонала	Chiave del personale	员工钥匙	職員のカギ			
Text.Item.Mop	Швабра	Mopp	Balai à franges	Fregona	Швабра	Mocio	拖把	モップ			
Text.Item.TrashBag	Сміттєвий мішок	Mülltüte	Sac poubelle	Bolsa de basura	Мешок д/мус.	Sacco della spazzatura	垃圾袋	ゴミ袋			
Text.Item.Nails	Цвяхи	Nägel	Clous	Clavos	Гвозди	Chiodi	钉子	クギ			
Text.Item.NailPolish	Лак для нігтів	Nagellack	Vernis à ongles	Pintaúñas	Лак для ногтей	Smalto	指甲油	マニキュア			
Text.Item.OrangeColouredPen	Помаранчева ручка	Orangefarbener Stift	Stylo orange	Bolígrafo naranja	Оранжевая ручка	Penna arancione	橙色钢笔	オレンジ色のペン			
Text.Item.PieFilling	Начинка пляцка	Pastetenfüllung	Garniture	Relleno de pastel	Начинка пирога	Ripieno del timballo	馅饼馅料	パイの具			
Text.Item.BeadedSnake	Змія з бісеру	Perlenschlange	Serpent en perles	Serpiente con cuentas	Змея из бисера	Serpente di perline	蛇珠	ビーズのヘビ			
Text.Item.PilotsFood	Їжа для пілотів	Pilotenessen	Repas du pilote	Comida de pilotos	Еда пилотов	Cibo per piloti	飞行员食物	パイロットフード			
Text.Item.PlasticFork	Пластикова виделка	Plastikgabel	Fourchette en plastique	Tenedor de plástico	Пластик. вилка	Forchetta di plastica	塑料叉	プラのフォーク			
Text.Item.RubberGloves	Резинові рукавички	Plastikhandschuhe	Gants en caoutchouc	Guantes de goma	Резиновые перчатки	Paio di guanti di gomma	一副橡胶手套	ゴム手袋			
Text.Item.PlasticSpoon	Пластикова ложка	Plastiklöffel	Cuillère en plastique	Cuchara de plástico	Пластик. ложка	Cucchiaio di plastica	塑料勺	プラのスプーン			
Text.Item.PlasticKnife	Пластиковий ножик	Plastikmesser	Couteau en plastique	Cuchillo de plástico	Пластиковый нож	Coltello di plastica	塑料刀	プラのナイフ			
Text.Item.Plunger	Вантуз	Pömpel	Ventouse	Desatascador	Вантуз	Sturalavandini	搋子	ラバーカップ			
Text.Item.MailSack	Мішок з листами	Postsack	Sac de courrier	Correo	Почт. мешок	Sacco postale	邮袋	郵便袋			
Text.Item.JetPack	Реактивний ранець	Raketenrucksack	Réacteur dorsal	Mochila voladora	Реакт. ранец	Jet pack	喷气背包	ジェットパック			
Text.Item.RazerBlade	Лезо бритви	Rasierklinge	Lame de rasoir	Cuchilla	Лезвие	Lametta	刀片	カミソリ刃			
Text.Item.Rations	Порція	Ration	Ration	Ración	Паек	Razione	口粮	配給食			
Text.Item.Purifier	Очищувач	Reiniger	Purificateur	Purificador	Очиститель	Depuratore	净化器	空気清浄機			
Text.Item.UncookedFood	Сира їжа	Rohes Essen	Nourriture crue	Comida sin hacer	Неприготов. еда	Cibo non cotto	未烹制的食物	未調理の食料			
Text.Item.RedHerb	Червона трава	Rotes Kraut	Herbe rouge	Hierba roja	Кр. растение	Erba rossa	红色药草	赤いハーブ			
Text.Item.Seeds	Насіння	Samen	Graines	Semillas	Семена	Semi	种子	種			
Text.Item.OxygenTank	Кисневий балон	Sauerstoffflasche	Bouteille d'oxygène	Botella de oxígeno	Кислородный баллон	Bombola di ossigeno	氧气罐	酸素ボンベ			
Text.Item.Baton	Кийок	Schlagstock	Matraque	Porra	Дубинка	Manganello	短棍	警棒			
Text.Item.Tubing	Трубка	Schlauch	Tuyau	Tubo	Трубы	Tubo	管子	チューブ			
Text.Item.Key	Ключ	Schlüssel	Clé	Llave	Ключ	Chiave	钥匙	カギ			
Text.Item.KeyCard	Ключ-картка	Schlüsselkarte	Carte magnétique	Tarjeta de celda	Ключ-карта	Chiave elettronica	门卡	キーカード			
Text.Item.Chocolate	Плитка шоколаду	Schokoladenriegel	Barre de chocolat	Barra de chocolate	Плитка шоколада	Barra di cioccolato	巧克力棒	チョコバー			
Text.Item.Screwdriver	Викрутка	Schraubenzieher	Tournevis	Destornillador	Отвертка	Cacciavite	螺丝刀	ねじ回し			
Text.Item.ShoeFrame	Чоботарський копил	Schuhrahmen	Tige de chaussure	Empeine de zapato	Колодка	Tomaia di scarpa	鞋骨架	靴のフレーム			
Text.Item.ShoeSole	Взуттєва підошва	Schuhsohle	Semelle	Suela de zapato	Подошва	Suola di scarpa	鞋底	靴のソール			
Text.Item.HeavyDutyProtectors	Пара надміцних протекторів	Schwere Schutzkleidung	Protections de chantier	Protectores pesados	Пара усиленных средств защиты	Protezioni rinforzate	重型保险	ぶあつい防護服			
Text.Item.Soap	Мило	Seife	Savon	Jabón	Мыло	Sapone	肥皂	石けん			
Text.Item.SheriffsBadge	Значок шерифа	Sheriffstern	Insigne de shérif	Placa de comisario	Жетон шерифа	Distintivo da sceriffo	警徽	保安官バッジ			
Text.Item.SafetyGoggles	Захисні окуляри	Sicherheitsbrille	Lunettes de sécurité	Gafas de seguridad	Защитные очки	Paio di occhiali protettivi	安全护目镜	安全ゴーグル			
Text.Item.Sock	Шкарпетка	Socke	Chaussette	Calcetín	Носок	Calzino	袜子	靴下			
Text.Item.Spurs	Острога	Sporen	Éperons	Espuelas	Шпоры	Speroni	马刺	拍車			
Text.Item.Spittoon	Плювальниця	Spucknapf	Crachoir	Escupidera	Плевательница	Sputacchiera	痰盂	たんつぼ			
Text.Item.String	Шматок мотузки	Stück Schnur	Morceau de ficelle	Trozo de hilo	Кусок бечевки	Pezzo di filo	线	ひも			
Text.Item.Rope	Міток мотузки	Stück Seil	Longueur de corde	Trozo de cuerda	Моток веревки	Tratto di corda	绳子	ロープ			
Text.Item.Sugar	Грудка цукру	Stück Zucker	Morceau de sucre	Trozo de azúcar	Кусок сахара	Zolletta di zucchero	糖块	角砂糖			
Text.Item.DinnerTray	Таця	Tablett	Plateau repas	Bandeja de cena	Поднос	Vassoio per la cena	餐盘	ディナートレイ			
Text.Item.Handkerchief	Носовичок	Taschentuch	Mouchoir	Pañuelo	Носовой платок	Fazzoletto	手帕	ハンカチ			
Text.Item.Cup	Кухлик	Tasse	Tasse	Taza	Чашка	Tazzina	杯子	カップ			
Text.Item.TeaBag	Мішечок чаю	Teebeutel	Sachet de thé	Bolsita de té	Чайн. пак.	Bustina di tè	茶包	ティーバッグ			
Text.Item.JarOfInk	Баночка чорнила	Tintenfass	Fiole d'encre	Bote de tinta	Чернила	Bottiglia di inchiostro	罐装墨水	インクびん			
Text.Item.PastryCase	Форма для випікання	Törtchenform	Moule à tarte	Molde de pastel	Выпечка	Base per torta	糕点柜	パイの皿			
Text.Item.DeadRat	Мертва миша	Tote Ratte	Rat mort	Rata muerta	Дохлая крыса	Topo morto	死老鼠	死んだネズミ			
Text.Item.Drums	Барабан	Trommel	Tambour	Tambor	Барабан	Tamburo	鼓	ドラム			
Text.Item.TalcumPowder	Лояковий порошок	Tube mit Talkumpuder	Bac de talc	Bote de talco	Тальк	Flacone di borotalco	盆装滑石粉	ベビーパウダー			
Text.Item.UnidentifiedSkull	Нерозпізнаний череп	Unidentifizierter Schädel	Crâne non identifié	Calavera sin identificar	Неидентифицир. череп	Teschio non identificato	不明头骨	身元不明のドクロ			
Text.Item.UngluedFurniture	Несклеєний виріб	Unverleimtes Möbelstück	Pièces détachées	Mueble sin encolar	Разобранная мебель	Mobile scollato	脱胶的家具	未接着の家具			
Text.Item.BurntPie	Обгорілий пляцок	Verbrannte Pastete	Tarte brûlée	Pastel quemado	Горел. пирог	Torta bruciata	烧糊的馅饼	焦げたパイ			
Text.Item.BurntFood	Обгоріла їжа	Verbranntes Essen	Nourriture brûlée	Comida quemada	Сгоревшая еда	Cibo bruciato	烧糊的食物	焦げた食べ物			
Text.Item.Wax	Віск	Wachs	Cire	Cera	Воск	Cera	蜡	ワックス			
Text.Item.WalkieTalkie	Портативна рація	Walkie-Talkie	Talkie-walkie	Radio	Переносная рация	Walkie talkie	步话机	トランシーバー			
Text.Item.GuardOutfit	Однострій наглядача	Wärter-Kleidung	Tenue de gardien	Uniforme de guardia	Форма охранника	Vestiti da guardia	守卫服装	看守の服			
Text.Item.Washboard	Дошка для прання	Waschbrett	Planche à laver	Tabla de lavar	Стир. доска	Asse per bucato	搓板	洗たく板			
Text.Item.PreciousMineral	Коштовний мінерал	Wertvolles Mineral	Minerai précieux	Mineral precioso	Драгоценный камень	Minerale prezioso	珍贵矿物	貴重な鉱石			
Text.Item.Toothbrush	Зубна щітка	Zahnbürste	Brosse à dents	Cepillo de dientes	Зубная щетка	Spazzolino	牙刷	歯ブラシ			
Text.Item.Toothpaste	Тюбик зубної пасти	Zahnpasta	Tube de dentifrice	Pasta de dientes	Зубная паста	Tubetto di dentifricio	牙膏	歯みがき粉			
Text.Item.DentalFloss	Зубна нитка	Zahnseide	Fil dentaire	Seda dental	Зубная нить	Filo interdentale	牙线	糸ようじ			
Text.Item.CellKey	Ключ від камери	Zellenschlüssel	Clé de cellule	Llave de celda	Ключ от камеры	Chiave della cella	牢房钥匙	監房のカギ			
Text.Item.CivilianClothes	Вбрання цивільного	Zivilkleidung	Tenue de civil	Ropa de civil	Штатская одежда	Vestiti da civile	平民服装	民間人の服			
Text.EquipmentStat.OutfitType.Civilian	Цивільний	Zivil	Civil	Civil	Штатская	Civile	国内	民間人			
Text.Item.BaseballIdle	Бейсбол — павза	Baseball Pose	Pose base-ball 	Pose de béisbol	Бейсбол — пауза	Posa baseball	闲置棒球	野球フィギュア			
Text.Item.CombShiv	Заточений гребінець	Kammklinge	Peigne taillé	Peine-pincho	Гребень-заточ	Coltello pettine	梳子剃刀	くしナイフ			
Text.Item.CounterWeight	Противага	Gegengewicht	Contrepoids	Contrapeso	Противовес	Contrappeso	配重	おもり			
Text.Item.CupOfTea	Кухлик чаю	Tasse Tee	Tasse de thé	Taza de té	Чашка чая	Tazza di tè	一杯茶	紅茶入りマグ			
Text.Item.GliderSkin	Покриття планера	Gleiter-Bespannung	Toile de planeur	Tela para planeador	Парус дельтапл.	Tessuto per aliante	滑翔机外壳	グライダーカバー			
Text.Item.JugglingIdle	Жонґлювання — павза	Jonglier-Pose	Pose jonglage	Pose de malabares	Жонглир. — пауза	Posa giocoliere	闲置杂耍球	ジャグリング人形			
Text.Item.LaxativeMix	Проносне	Abführmittel	Mélange de laxatif	Mezcla laxante	Слабительное	Mix lassativo	泻药	下剤ミックス			
Text.Item.MakeshiftHarness	Саморобне кріплення	Provisorisches Gurtzeug	Harnais de fortune	Arnés improvisado	Самодельная страховка	Imbragatura di fortuna	临时用马具	簡易ハーネス			
Text.Item.ManicureKit	Манікюрний набір	Maniküreset	Trousse de manucure	Kit de manicura	Маникюрный набор	Kit per manicure	指甲护理套件	マニキュアキット			
Text.Item.Parachute	Парашут	Fallschirm	Parachute	Paracaídas	Парашют	Paracadute	降落伞	パラシュート			
Text.Item.Poster	Плакат	Poster	Affiche	Póster	Постер	Poster	海报	ポスター			
Text.Item.PostalAddress	Поштова адреса	Postadresse	Adresse postale	Dirección postal	Почтовый адрес	Indirizzo postale	邮寄地址	宛て先			
Text.Item.PottedPlant	Рослина у чашці	Topfpflanze	Plante en pot	Planta	Растение в горшке	Pianta in vaso	盆栽植物	鉢植え			
Text.Item.PretendCarrot	Несправжня морква	Falsche Karotte	Fausse carotte	Zanahoria de mentira	Фальшивая морковь	Carota finta	仿制胡萝卜	偽のニンジン			
Text.Item.PretendFlower	Несправжня квітка	Falsche Blume	Fausse fleur	Flor de mentira	Фальшивый цветок	Fiore finto	仿制花	造花			
Text.Item.ReadiedPaintBrush	Підготовлений пензель	Vorbereiteter Farbpinsel	Pinceau large prêt	Brocha reparada	Подготов. малярная кисть	Pennello preparato	应急用油漆刷	ペンキの付いたはけ			
Text.Item.SheetRope	Мотузка з простирала	Seil aus Bettlaken	Corde en draps	Sábanas anudadas	Связ. простыни	Corda di lenzuola	缭绳	シーツロープ			
Text.Item.TimberBrace	Дерев’яна підпора	Holzstrebe	Cale en bois	Unión de maderas	Крепление доски	Sostegno di legno	木材支架	支え木			
Text.Item.ToothbrushShiv	Заточена зубна щітка	Zahnbürstenklinge	Brosse à dents taillée	Cepillo-pincho	Зубн. щетка-заточка	Coltello spazzolino	牙刷剃刀	歯ブラシナイフ			
Text.Item.VisitorsKit	Набір відвідувача	Besucherset	Affaires de visiteur	Kit de visitante	Набор посетит.	Kit visitatori	探视者套件	面会人キット			
Text.Item.BaseballBat	Бейсбольна бита	Baseballschläger	Batte de base-ball	Bate de béisbol	Бейсб. бита	Mazza da baseball	棒球棍	バット			
Text.Item.BedDummy	Опудало на ліжко	Attrappe fürs Bett	Mannequin pour lit	Muñeco para la cama	Кукла-валик	Manichino	睡觉假人	ダミー人形			
Text.Item.BreathingMask	Респіратор	Atemmaske	Masque respiratoire	Máscara para respirar	Респиратор	Maschera di respirazione	呼吸面罩	呼吸マスク			
Text.Item.Candle	Свічка	Kerze	Bougie	Vela	Свеча	Candela	蜡烛	ろうそく			
Text.Item.CombBlade	Гребінець з лезом	Kammmesser	Peigne tranchant	Peine-cuchilla	Лезвие гребня	Pettine con lama	刀片梳	くしカミソリ			
Text.Item.CushionedInmateOutfit	М’яке вбрання в’язня	Gepolsterte Häftlingskleidung	Tenue de détenu renforcée	Uniforme de preso con cojines	Одежда заключ. с подкладкой	Vestiti da detenuto imbottiti	带垫子的囚犯服装	ふかふか囚人服			
Text.Item.CuttingFloss	Різальна нитка	Trennseide	Fil coupant	Seda dental cortante	Режущая нить	Filo interdentale tagliente	切割丝线	糸ようじカッター			
Text.Item.FakeWallBlock	Несправжній блок стіни	Falscher Mauerstein	Faux pan de mur	Ladrillo falso	Фальш. стен. блок	Mattone finto	仿制的隔墙	偽ブロック			
Text.Item.FlimsyCutters	Крихкі різці	Schwacher Seitenschneider	Pince coupante fragile	Cortador frágil	Облегч. резак	Taglierino fragile	劣质切割工具	もろいカッター			
Text.Item.FlimsyPickaxe	Крихке кайло	Schwache Spitzhacke	Pioche fragile	Hacha frágil	Облегченная кирка	Piccone fragile	劣质镐	もろいツルハシ			
Text.Item.FlimsyShovel	Крихка лопата	Schwache Schaufel	Pelle fragile	Pala frágil	Облегч. лопата	Pala fragile	劣质铲	もろいシャベル			
Text.Item.FakeVentCover	Несправжня вентиляційна решітка	Falscher Lüftungsdeckel	Fausse bouche d'aération	Cubierta de rejilla falsa	Фальш. крышка вент. шахты	Copertura condotto finta	仿制的通风口盖	偽ダクトカバー			
Text.Item.FramedPhoto	Світлина в рамці	Gerahmtes Foto	Photo encadrée	Foto enmarcada	Фото в рамке	Foto con cornice	装裱后照片	フレーム入り写真			
Text.Item.GlassShank	Скляна заточка	Glasmesser	Lame de verre	Cuchillo de cristal	Осколок стекла	Coltello di vetro	玻璃杆	ガラスナイフ			
Text.Item.GlueReadiedFurniture	Склеєний виріб	Mit Leim vorbereitetes Möbelstück	Meuble monté	Mueble reparado con cola	Проклеенная мебель	Mobile preparato con colla	上好胶的家具	接着済みの家具			
